assemblydist,address,boro_name,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
53,2 Orient Avenue,Brooklyn,301,7,34,Orient Grove,DPR,"MULTIPOLYGON (((-73.9401510777611 40.71494164140736, -73.9407618127672 40.714780357970206, -73.9407610726335 40.71476223211286, -73.9401144996303 40.71474169463519, -73.94010830853699 40.71481316853964, -73.94010672848529 40.71485674882629, -73.9401510777611 40.71494164140736)))",,,,,,,,B024-GT001,90,18,Not GreenThumb,11211
52,503 President Street,Brooklyn,306,10,39,Dolly's Park,DPR,"MULTIPOLYGON (((-73.986401032182 40.67800594080859, -73.98624346624375 40.678248837680925, -73.98630527030052 40.67827207562732, -73.98646283606857 40.678029178671025, -73.986401032182 40.67800594080859)))",8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,B570-GT001,78,26,Active,11215
46,2871 Surf Avenue,Brooklyn,313,8,47,Surfside Garden Multi-Cultural Coalition,DPR,"MULTIPOLYGON (((-73.99459582875232 40.5730688796673, -73.99466082344907 40.573348283051885, -73.99443980683105 40.573374649830946, -73.99454527844097 40.573938321089756, -73.99498996650964 40.57388486910078, -73.9949529562516 40.57365863591661, -73.99483426536624 40.57304986525447, -73.99459582875232 40.5730688796673)))",2:30 p.m.  - 6:00 p.m.,9:30 a.m. - 1:00 p.m.,2:30 p.m. - 6:00 p.m.,2:00 p.m. - 6:00 p.m.,2:00 p.m. - 6:00 p.m.,9:30 a.m. - 1:00 p.m.,9:30 a.m. - 1:00 p.m.,B562-GT001,60,23,Active,11224
60,786 Livonia Ave. Brooklyn,Brooklyn,305,8,42,Fresh Farm,DPR,"MULTIPOLYGON (((-73.88791904340812 40.665573040490436, -73.8878522703898 40.66530262950855, -73.88778056968081 40.665312895716575, -73.88782222430909 40.66547825229107, -73.88763099498225 40.66550613566057, -73.88765776023676 40.66561045063433, -73.88791904340812 40.665573040490436)))",12:00 p.m. - 2:00 p.m.,,9:00 a.m. - 2:00 p.m.,,12:00 p.m. - 2:00 p.m.,,12:00 p.m. - 2:00 p.m.,B543-GT001,75,19,Active,11207
55,495 Osborn Street,Brooklyn,316,8,41,Abib Newborn,DPR,"MULTIPOLYGON (((-73.90616390144595 40.65968566753407, -73.90608994525279 40.65938504430315, -73.90570470301115 40.65944364726888, -73.90575942120675 40.65966681052146, -73.90578077770245 40.659663939157966, -73.9058035471502 40.65974155716067, -73.90616390144595 40.65968566753407)))",12:00 p.m. - 5:00 p.m.,1:00 p.m. - 5:00 p.m.,,,,1:00 p.m. - 5:00 p.m.,1:00 p.m. - 5:00 p.m.,B533-GT001,73,19,Active,11212
55,195 Newport Street,Brooklyn,316,8,41,Newport Garden,DPR,"MULTIPOLYGON (((-73.90771473224842 40.6597778474095, -73.90772182906973 40.65980475784975, -73.90807216594082 40.6597508353471, -73.90803077295172 40.659589189171264, -73.90767976392544 40.65964149458062, -73.90771473224842 40.6597778474095)))",11:00 a.m. - 3:00 p.m.,10:00 a.m.- 1:00 p.m.,10:00 a.m. - 3:00 p.m.,10:00 a.m. - 3:00 p.m.,10:00 a.m. - 2:00 p.m.,11:00 a.m. - 2:00 p.m.,11:00 a.m. - 2:00 p.m.,B513-GT001,73,19,Active,11212
58,660 East 105th Street,Brooklyn,318,8,42,Ponderosa Garden,DPR,"MULTIPOLYGON (((-73.89676480148275 40.64923054819362, -73.89694605798971 40.6493934740156, -73.89721937015811 40.64921391302127, -73.89716342350141 40.649163676228426, -73.89712612695944 40.64913018501899, -73.89712495808635 40.64912913486972, -73.89703820578501 40.64905092737469, -73.89676480148275 40.64923054819362)))",10:00 a.m. - 1:00 p.m. &  2:00 p.m. - 5:00 p.m.,4:00 p.m. - 6:00 p.m.,9:00 a.m. - 2:00 p.m.,4:30 p.m. -  6:00 p.m.,9:00 a.m. - 11a.m. &   6:30 p.m.  -  8:30 p.m.,2:00 p.m. - 5:00 p.m. &  6:30 p.m. - 8:30 p.m.,8:30 a.m.  -  2:00 p.m.,B504-GT001,69,19,Active,11236
57,213 Madison Street,Brooklyn,303,8,36,Stars of Hope Community Garden,DPR,"MULTIPOLYGON (((-73.95063493868432 40.684800006853486, -73.9506806961771 40.685035245217826, -73.95074514411752 40.685027830074475, -73.95069938640246 40.68479259173549, -73.95063493868432 40.684800006853486)))",,,9:00 a.m. to 7:00 p.m.,9:00 a.m. to 7:00 p.m.,,,,B503-GT001,79,25,Active,11216
56,323 Monroe Street,Brooklyn,303,8,36,Shiloh Garden,DPR,"MULTIPOLYGON (((-73.94523548253493 40.68640275685967, -73.94530143730564 40.686395151872084, -73.94525614680065 40.686169269762125, -73.94519019107632 40.68617686121566, -73.9451221696717 40.686184691182994, -73.9451674632608 40.686410599461844, -73.94523548253493 40.68640275685967)))",,12:00 p.m. - 4:00 p.m.,12:00 pm - 5:00 pm,,,,12:00 pm - 5:00 pm,B502-GT001,79,25,Active,11216
55,1711 Park Place,Brooklyn,316,9,41,Preston Community Garden,DPR,"MULTIPOLYGON (((-73.920627176122 40.672254416964, -73.92077379017252 40.672262463269035, -73.92080769852242 40.67190319620971, -73.9206610864393 40.67189515084893, -73.920627176122 40.672254416964)))",,,1:00 p.m. - 6:00 p.m.,,,,,B487-GT001,73,25,Inactive (No Group),11233
57,90 Madison Street,Brooklyn,303,8,36,Madison Hill Community Garden,DPR,"MULTIPOLYGON (((-73.95552058950068 40.68406141457913, -73.95558120175976 40.684054466213006, -73.9555252497352 40.68377664593004, -73.95546463890517 40.68378359516791, -73.95540295742981 40.683790666428806, -73.9554589089566 40.684068486770755, -73.95552058950068 40.68406141457913)))",,,,,,,,B482-GT001,79,25,Active,11216
55,2084 Pacific Street,Brooklyn,316,8,41,Eden Community Garden,DPR,"MULTIPOLYGON (((-73.91592305902948 40.675708575516346, -73.9161365078712 40.67572013001872, -73.91614147213714 40.675666424207435, -73.91614654072725 40.675611581120904, -73.91615117645311 40.6755614077904, -73.91615599443301 40.67550926336432, -73.91616071165934 40.67545822649801, -73.9161630762703 40.675432639179654, -73.9159496247946 40.675421085624116, -73.91592305902948 40.675708575516346)))",,3:00p - 6:00p,,11:00a - 3:00p,3:00p - 6:00p,,3:00p - 6:00p,B476-GT001,73,25,Active,11233
56,1251 Prospect Place,Brooklyn,308,9,36,Garden Kitchen Lab at St. John's Rec.,DPR,"MULTIPOLYGON (((-73.93500081856017 40.67391829365439, -73.9350057909269 40.67385147192776, -73.93473290579377 40.673839701701475, -73.93472793315456 40.67390652341643, -73.93500081856017 40.67391829365439)))",,,,,,,,B245-GT001,77,20,Not GreenThumb,11213
52,"46 Columbia Pl, Brooklyn, NY 11201",Brooklyn,302,10,33,Willowtown Community Garden,DPR,"MULTIPOLYGON (((-73.99893442421437 40.69261977327065, -73.99918727958719 40.69268778207033, -73.9991726802756 40.692498504053255, -73.99901518765691 40.692453587028524, -73.99893442421437 40.69261977327065)))",,,,,,,,B223DA-GT001,84,26,Not GreenThumb,11201
