assemblydist,address,boro_name,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
79,345 East 153rd Street,Bronx,201,15,17,Melrose Houses Community Garden (NYCHA Melrose Houses),NYCHA,"MULTIPOLYGON (((-73.91843008455554 40.8214270228906, -73.91852664370919 40.82122404631729, -73.91852127962812 40.82120780837691, -73.91819941424696 40.82113067719454, -73.91809749032085 40.821353951379514, -73.91843008455554 40.8214270228906)))",10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,Closed,1:00 P.M- 4:00 P.M,10:00 A.M. - 11:310:00 A.M.- 11:30 A.M & 3:00 P.M – 5:00 PM,Closed,XGT092,40,29,Active,10451
78,"419 Botanical Square S, The Bronx, NY 10",Bronx,207,15,11,Botanical Square Community Garden,MTA,"MULTIPOLYGON (((-73.88217370142452 40.86732503029345, -73.88216147181667 40.867211197701856, -73.88196655975776 40.86731700054009, -73.88204180311763 40.86739688338553, -73.88210318023297 40.86736356675909, -73.88216191783624 40.867331682785, -73.88216559634981 40.86732960550971, -73.88217370142452 40.86732503029345)))",,,,,,,,XGT084,52,33,Not GreenThumb,10458
81,3101 Kingsbridge Terrace,Bronx,208,13,14,Kingsbridge Heights Community Garden,PRI,"MULTIPOLYGON (((-73.90140059439999 40.87750678865047, -73.90126029414523 40.87743367605445, -73.90109163521333 40.87760294310968, -73.90109605342045 40.87760524494107, -73.90118019263048 40.87764908973019, -73.90123737454152 40.8776788880948, -73.90125712305009 40.87765809381943, -73.90138478463034 40.87752366559257, -73.90140059439999 40.87750678865047)))",,,,,,,,XGT041,50,31,Not GreenThumb,10463
84,685 Beck Street,Bronx,202,14,17,The William Rainey Garden,BLT,"MULTIPOLYGON (((-73.90123466478813 40.815221554418954, -73.90108680806523 40.814903837489844, -73.90097952039821 40.81493428757501, -73.90111899483652 40.815250960979476, -73.90123466478813 40.815221554418954)))",1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,XGT040,41,29,Active,10455
86,2387 Davidson Avenue,Bronx,207,13,14,Davidson Avenue Community Garden,BLT,"MULTIPOLYGON (((-73.90373973075243 40.8613901621183, -73.90342039857265 40.86127602014005, -73.90334464239577 40.861400626001036, -73.90366398215774 40.861514769993356, -73.90373973075243 40.8613901621183)))",,,,9:00 a.m. to 2:00 p.m.,8:00 a.m. to 11:00 p.m.,8:00 a.m. to 11:00 p.m.,8:00 a.m. to 11:00 p.m.,XGT024,52,31,Active,10468
79,724 Courtlandt Avenue,Bronx,201,15,17,NYRP Members Garden (Dalia Group),NYRP,"MULTIPOLYGON (((-73.91709821469088 40.820850381126775, -73.9174398235117 40.82093975826893, -73.91746963257981 40.82087425948158, -73.91712802642482 40.820784883328955, -73.91709821469088 40.820850381126775)))",,,,,,,,XGT016,40,29,Active,10455
84,360 E. 151st Street,Bronx,201,15,17,Neighborhood Advisory Committee Community Garden,BLT,"MULTIPOLYGON (((-73.91831706203502 40.81774807615763, -73.91848840117908 40.81779154643422, -73.91855854705494 40.81763340839841, -73.9185925251908 40.81755679919813, -73.91862643903048 40.81748036283697, -73.91854064121843 40.817458596674015, -73.91845509822679 40.817436892761584, -73.91831706203502 40.81774807615763)))",,,,,,,,XGT015,40,29,Active,10455
87,1636 Castle Hill Avenue,Bronx,210,14,18,Glover Street Community Garden,NYRP,"MULTIPOLYGON (((-73.85246200844792 40.83856049832442, -73.85246455763766 40.8385615803779, -73.85246738664638 40.838562128795864, -73.85247030703077 40.838562107317514, -73.85247312196203 40.838561518392524, -73.85247564283127 40.838560400500896, -73.85247770347546 40.838558829071744, -73.85247916375096 40.83855690928375, -73.85247992615035 40.83855476798188, -73.85247993936616 40.83855255098076, -73.85247568249902 40.83853181794842, -73.85245204753801 40.83841668287585, -73.8524335269332 40.83831952191174, -73.85240451495059 40.83834019166679, -73.85240003793473 40.83834067760773, -73.85229261430706 40.838429298253345, -73.8522819651754 40.83843808334941, -73.85238277261087 40.838506623898425, -73.85246200844792 40.83856049832442)))",,,,,,,,XGT011,45,34,Active,10462
83,3634 Eastchester Road,Bronx,212,16,12,Eastchester Road Community Garden,NYRP,"MULTIPOLYGON (((-73.84881294474229 40.88193242276401, -73.84876162157006 40.8818106536836, -73.84872362789923 40.88181997256711, -73.8482217135913 40.88160750354114, -73.84817929194044 40.88166418388913, -73.84821198030853 40.88167802235898, -73.84827515715737 40.88170476707534, -73.84833939846547 40.88173196159864, -73.84841457074951 40.88176378274223, -73.84848193901908 40.88179230140789, -73.84854117374073 40.881817376700766, -73.84859508645546 40.88184019916488, -73.8486550537844 40.88186558512791, -73.84870908037016 40.88188845451311, -73.8487670920179 40.88191301210657, -73.84877630665525 40.88191691248715, -73.84881294474229 40.88193242276401)))",9:00 a.m. to Noon; 3:00 p.m. to 5:30 p.m. ; 5:00 p.m. to 7:00 p.m.,,9:30 a.m. to 3:30 p.m.,10:00 a.m. to 1:30 p.m.,9:00 a.m. to Noon,9:00 a.m. to Noon,9:00 a.m. to Noon,XGT002,47,36,Active,10466
85,972 Simpson Street,Bronx,202,14,17,Black Joy Farm,DPR,"MULTIPOLYGON (((-73.89237125748325 40.82192773339388, -73.89237576891898 40.82204142530513, -73.89277212159884 40.82203300300868, -73.89276760948657 40.821919311112765, -73.89237125748325 40.82192773339388)))",12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,,12:00 p.m. - 5:00 p.m.,,,12:00 p.m. - 5:00 p.m.,X365-GT001,41,32,Active,10459
87,512 Havemeyer Avenue,Bronx,209,14,18,Havemeyer Garden Association,DPR,"MULTIPOLYGON (((-73.84440885473654 40.817646862702176, -73.84436491829788 40.81744182573861, -73.844182953528 40.81747019150355, -73.84421658507287 40.81761769440209, -73.84384460635151 40.81766671051506, -73.84380231618958 40.81772001134335, -73.84379497873849 40.817729259423466, -73.84387688942897 40.817718265420254, -73.84440885473654 40.817646862702176)))",9:00 a.m.- 6:00 p.m.,9:00 a.m.- 6:00 p.m.,9:00 a.m.- 6:00 p.m.,,9:00 a.m.- 6:00 p.m.,9:00 a.m.- 6:00 p.m.,9:00 a.m.- 6:00 p.m.,X364-GT001,43,34,Active,10473
85,1221 Hoe Avenue,Bronx,203,15,17,Morning Glory Community Garden,DPR,"MULTIPOLYGON (((-73.89128749053042 40.8292298878892, -73.89098884158562 40.82922756004658, -73.89097542409002 40.82922745551215, -73.89097302773516 40.829501922488774, -73.89127778525445 40.82950308008296, -73.89128749053042 40.8292298878892)))",,,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,,5:00 p.m. - 7:00 p.m.,,X361-GT002,42,32,Active,10459
79,757 Melrose Avenue,Bronx,201,15,17,Rainbow Garden of Life and Health,DPR,"MULTIPOLYGON (((-73.91579423873893 40.82135884622246, -73.91552631269643 40.82128448536577, -73.9154669188582 40.82140073105336, -73.91539374131098 40.82154395627499, -73.91534232729195 40.82164692092375, -73.9154453478891 40.821677407177795, -73.91551523895026 40.82169808877948, -73.91560885514475 40.82172182868114, -73.9157315036763 40.82148168213911, -73.91579423873893 40.82135884622246)))",,,,,,,,X357-GT001,40,29,Active,10451
86,1974 Grand Avenue,Bronx,205,13,14,Leave It Better Community Garden,DPR,"MULTIPOLYGON (((-73.91062212452577 40.85208126754585, -73.91062015253061 40.85208024035782, -73.91061401062747 40.852077599859555, -73.91060759422633 40.85207536887202, -73.91060094718203 40.85207356543901, -73.91059412047198 40.85207220220688, -73.91058716626345 40.852071289121426, -73.91058013435521 40.852070833425174, -73.91057503130789 40.8520708501809, -73.91056805421911 40.852071077999696, -73.910562226213 40.85207136253942, -73.91026006760241 40.852403449884655, -73.91029662076411 40.85242244447079, -73.91054059488864 40.85254934121457, -73.91054703236422 40.85255268883168, -73.9105556412874 40.85253222012536, -73.91055721813919 40.85252813491635, -73.9105643490868 40.85250965334915, -73.91057233840964 40.852486935633145, -73.91057960449595 40.85246407958071, -73.91058984553014 40.852436334362096, -73.91059927323116 40.85240842372221, -73.91060788402154 40.852380362966805, -73.91061567195696 40.852352163797796, -73.91062263464468 40.85232384242242, -73.910628767324 40.852295412344446, -73.91063406760583 40.85226688706956, -73.91063853309886 40.85223828190442, -73.91064134753535 40.85221603833509, -73.9106421614142 40.85220961035456, -73.91064495016163 40.85218088682617, -73.91064689813697 40.85215212572616, -73.91064800532206 40.85212334146245, -73.91064754681392 40.852117713934, -73.91064635413058 40.852112152473275, -73.91064443906008 40.85210671021838, -73.91064182168947 40.85210144211493, -73.91063852685424 40.85209639951005, -73.91063458769386 40.85209163195647, -73.9106300420961 40.85208718540852, -73.91062493506443 40.8520831058261, -73.91062288521944 40.85208176520668, -73.91062212452577 40.85208126754585)))",,,,,,,,X355-GT001,46,33,Active,10453
79,418 East 158th Street,Bronx,201,15,17,Rays of Sunshine Community Garden (Family Group Garden),DPR,"MULTIPOLYGON (((-73.91409176744692 40.821994164845336, -73.91417494106932 40.821836241891766, -73.91422173719566 40.82174739141265, -73.91413509510082 40.82172086313862, -73.91406732517932 40.82170011294269, -73.9140399147605 40.821752157414856, -73.91393735494913 40.82194688710381, -73.91393618210961 40.82194910144955, -73.91394118237581 40.82195069545812, -73.91408972475887 40.82199804446291, -73.91409176744692 40.821994164845336)))",,,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,,,,X352-GT001,40,32,Active,10451
79,431 E. 156th Street,Bronx,201,15,17,Vogue Community Garden,DPR,"MULTIPOLYGON (((-73.91416638506055 40.820514651536804, -73.91402089116934 40.820477358034104, -73.91395501708169 40.820602115924956, -73.9141092740645 40.82064165557265, -73.91416638506055 40.820514651536804)))",1:30 p.m. to 2:30 p.m.,1:30 p.m. to 2:30 p.m.,1:30 p.m. to 7:30 p.m.,1:30 p.m. to 7 p.m.,1:30 p.m. to 2:30 p.m.,1:30 p.m. to 2:30 p.m.,1:30 p.m. to 2:30 p.m.,X347-GT001,40,29,Active,10451
79,364 East 158th Street,Bronx,201,15,17,Courtlandt Avenue Community Garden,DPR,"MULTIPOLYGON (((-73.91629253327284 40.8223825763467, -73.91629224296499 40.822382486086326, -73.91623768211188 40.82236519025522, -73.91615848325395 40.822340085392696, -73.91609067863354 40.82231859165332, -73.91606599085607 40.8223107663828, -73.9160653100641 40.82231200497018, -73.91601674634192 40.8224035689962, -73.91592928828673 40.822568468983334, -73.91592837941126 40.822570089214, -73.91618174303618 40.8226468761757, -73.91621553195345 40.822581652572296, -73.91624685987125 40.822521179089804, -73.91628038129586 40.82245647305724, -73.91630681457535 40.82240544851325, -73.91631497804806 40.8223896903497, -73.9163116733022 40.82238864337556, -73.91631096590493 40.8223884186386, -73.91631101937445 40.8223883178218, -73.91629253327284 40.8223825763467)))",,,,,,,,X338-GT001,40,32,Inactive (Group Forming),10451
79,427 East 157th Street,Bronx,201,15,17,Latinos Unidos,DPR,"MULTIPOLYGON (((-73.91397269643996 40.821663244497024, -73.91413867542799 40.821714064355106, -73.91426951665747 40.82146563369259, -73.91410353818908 40.82141481402078, -73.91397269643996 40.821663244497024)))",,,,,,,,X337-GT001,40,32,Inactive (Group Forming),10451
85,1834 Randall Avenue,Bronx,209,14,18,Randall Community Garden,DPR,"MULTIPOLYGON (((-73.86147779966628 40.8171220302401, -73.86110285233302 40.81675799866881, -73.8610231681612 40.81677124532683, -73.86111734345363 40.81717275300859, -73.86147779966628 40.8171220302401)))",11:00 a.m.- 3:00 p.m.,11:00 a.m.- 3:00 p.m.,11:00 a.m.- 3:00 p.m.,,11:00 a.m.- 3:00 p.m.,11:00 a.m.- 3:00 p.m.,11:00 a.m.- 3:00 p.m.,X325-GT001,43,34,Active,10473
77,110 East 176th Street,Bronx,205,15,14,Green Patch on Walton,DPR,"MULTIPOLYGON (((-73.9098651537377 40.84791199154311, -73.90968438740414 40.84787643468818, -73.90958629302628 40.847857139534575, -73.90956487997622 40.84785292735488, -73.90956684519888 40.84784749262235, -73.90959010527996 40.847783159859816, -73.90951597534156 40.84776857859352, -73.9095118544445 40.84776776761927, -73.90949246571437 40.84783237175055, -73.90949067764862 40.847838331607946, -73.9094813966288 40.84786925804373, -73.90940911851203 40.84811009564869, -73.90941107820078 40.84811048079743, -73.90941621749508 40.84811148978275, -73.90947098236619 40.8481229240036, -73.90948710418988 40.84812629008842, -73.90954557145166 40.84813849709984, -73.90958479424943 40.84814668631057, -73.90962307575748 40.84815467846316, -73.90968219036081 40.84816702098622, -73.9098651537377 40.84791199154311)))",5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,12:00 p.m. - 5:00 p.m.,12:00 p.m. - 5:00 p.m.,5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,X324-GT001,46,33,Active,10453
86,1664 Weeks Avenue,Bronx,204,15,15,Garden of Eden,DPR,"MULTIPOLYGON (((-73.90722043852419 40.84358481139152, -73.9075583190589 40.843595239331215, -73.90758067853245 40.843342193446404, -73.90724778223274 40.843325553473974, -73.90722043852419 40.84358481139152)))",11:00a - 4:00p,,11:00a - 4:00p,,11:00a - 3:00p,11:00a - 3:00p,11:00a - 3:00p,X297-GT001,44,32,Active,10457
84,462 East 136th Street,Bronx,201,15,8,Wanaqua Garden,DPR,"MULTIPOLYGON (((-73.92210675370869 40.806668828317825, -73.92177622983122 40.80652906055925, -73.92159068388645 40.806781764792056, -73.92191142673123 40.806917436387145, -73.92210675370869 40.806668828317825)))",10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,10:00 a.m. - 3:30 p.m.,X272-GT001,40,29,Active,10454
85,"1225 Hoe Avenue Bronx, NY 10459",Bronx,203,15,17,Freeman Garden,DPR,"MULTIPOLYGON (((-73.89123887663574 40.829638602188616, -73.89124453722863 40.829572770499304, -73.89097242923536 40.82957053968176, -73.89097185420022 40.829636412185835, -73.89123887663574 40.829638602188616)))",10:00 a.m. - 6:00 p.m.,12:00 p.m. - 5:00 p.m.,8:00 a.m. - 2:00 p.m.,8:00 a.m. - 2:00 p.m.,10:00 a.m. - 6:00 p.m.,12:00 p.m. - 5:00 p.m.,10:00 a.m. - 3:00 p.m.,X270-GT001,42,32,Active,10459
84,941 Avenue St. John,Bronx,202,14,17,Demera Santiago Garden,DPR,"MULTIPOLYGON (((-73.90245570605337 40.81525124863585, -73.90240086792006 40.815131227143155, -73.90239823914354 40.81512547434063, -73.90202168371324 40.815231285803485, -73.90208224066365 40.81535338527718, -73.9020825620048 40.81535329459983, -73.90245570605337 40.81525124863585)))",1:00 p.m. to 4:00 p.m.,1:00 p.m. to 4:00 p.m.,1:00 p.m. to 3:30 p.m.,1:00 p.m. to 3:30 p.m.,1:00 p.m. to 4:00 p.m.,1:00 p.m. to 4:00 p.m.,1:00 p.m. to 4:00 p.m.,X179A-GT001,41,29,Active,10455
85,905 Harding Park,Bronx,209,14,18,Harding Park Community Garden,DPR,"MULTIPOLYGON (((-73.85832734416226 40.80738712746935, -73.8583262616291 40.807373448455444, -73.85827575981071 40.80736287215291, -73.85827324732574 40.807317797273825, -73.85798873549012 40.80728548483193, -73.8579726199058 40.80734336168083, -73.85784750760818 40.80734320747813, -73.85783260615922 40.807273141063376, -73.85777893417408 40.807279255890506, -73.85771499507223 40.80728443230803, -73.85781244790607 40.807462530825546, -73.8578827035372 40.80760128353554, -73.8579285660028 40.80770998529739, -73.85796976295947 40.807800812685095, -73.85798841831839 40.80787517187735, -73.85800889505904 40.807977409162234, -73.85803872764217 40.80810396063471, -73.8580761084948 40.80822051504261, -73.85812094842352 40.808367813552195, -73.85832760395338 40.80832185407496, -73.85831259501023 40.80829804624345, -73.85828112866594 40.80821269697846, -73.85827523153382 40.808150853351904, -73.85827849034983 40.80803634628059, -73.85827240466645 40.80799682759633, -73.8582562229203 40.80797450593896, -73.85822909543604 40.80782913561259, -73.85823401109545 40.80772966891115, -73.85827328301157 40.80769397818346, -73.85830039503921 40.80765791409815, -73.85833968135712 40.80760929489752, -73.85834276212513 40.80757838094185, -73.85835649116555 40.80754640937569, -73.85837986873224 40.80749197049769, -73.85836566818725 40.80743698747757, -73.85835224939508 40.80741952922056, -73.85832734416226 40.80738712746935)))",10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,,10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,X118A-GT001,43,29,Active,10473
61,143 Westervelt Avenue,Staten Island,501,11,49,Westervelt Community Garden,NYRP,"MULTIPOLYGON (((-74.08436026491329 40.64441676334871, -74.0846858274162 40.64427668074622, -74.08462578002052 40.64419868871554, -74.08430734027193 40.64433561771527, -74.08436026491329 40.64441676334871)))",,,,,,,,RGT003,120,23,Active,10301
34,49-11 Broadway Queens NY 11377,Queens,401,7,26,Woodside Garden - Woodside Houses (NYCHA),NYCHA,"MULTIPOLYGON (((-73.91179643832174 40.75570071619289, -73.91162891193187 40.75562410604802, -73.9116160669484 40.755623143458266, -73.91159883219532 40.75562479797002, -73.9115841009224 40.755629075772745, -73.9115712461348 40.755635498217686, -73.91142478629918 40.75581067542977, -73.91142271254552 40.755814391122584, -73.91142025840408 40.75582275223165, -73.91141959219001 40.75582861311078, -73.91142043020618 40.755834259925706, -73.91142145921538 40.75583876414585, -73.9114236140271 40.755843554691886, -73.91142624129387 40.75584748831979, -73.91142999516813 40.755851993734446, -73.9114413114109 40.755857385657485, -73.91157621650895 40.75592166022394, -73.91158201139656 40.75592303434107, -73.91158678754884 40.75592375300841, -73.91159187941332 40.755923935216465, -73.91159736277687 40.75592358282442, -73.91160308290588 40.755922395845005, -73.91160778461449 40.75592120808386, -73.91161319258724 40.75591877006209, -73.91161742621937 40.75591603307169, -73.91177164755581 40.755729764630985, -73.91179643832174 40.75570071619289)))",9:00 AM- 11:30 AM,9:00 AM- 11:30 AM,9:00 AM- 11:30 AM,CLOSE,9:00 AM- 11:30 AM,9:00 AM- 11:30 AM,9:00 AM- 11:30 AM,Q514-GT001,114,12,Active,11377
31,480 Beach 43rd Street,Queens,414,5,31,The Garden By The Bay,DPR,"MULTIPOLYGON (((-73.77459387440784 40.59803605653742, -73.77461904841248 40.59825327662067, -73.77496056910543 40.59822838358717, -73.77493539399907 40.59801116357821, -73.77459387440784 40.59803605653742)))",,10:00a - 4:00p,10:00a - 4:00p,CLOSED,10:00a - 4:00p,,10:00a - 4:00p,Q511-GT001,101,10,Active,11691
32,108-56 Union Hall Street,Queens,412,5,28,Discovery Community Garden 1,DPR,"MULTIPOLYGON (((-73.79112518866239 40.69463757663779, -73.79120466551066 40.694748513046875, -73.79153188866476 40.6946165134725, -73.79144806795317 40.69449884346816, -73.79112518866239 40.69463757663779)))",,,10:00a - 2:00p,,2:00p - 8:00p,6:00p - 8:00p,,Q493-GT001,103,14,Active,11433
32,107-29 Inwood Street,Queens,412,5,28,Paradise Community Garden NY,DPR,"MULTIPOLYGON (((-73.8039293354717 40.690607584593295, -73.8039362510526 40.690601735821296, -73.80388471561353 40.69056649909072, -73.8038725172862 40.690558412385634, -73.80380050931831 40.690510673989095, -73.80379591948515 40.6905145563905, -73.8035519852166 40.69072085085534, -73.80368540246127 40.69081387844001, -73.8039293354717 40.690607584593295)))",4:00p - 6:00p,4:00p - 6:00p,10:00a - 3:00p,11:00a - 4:00p,4:00p - 6:00p,4:00p - 6:00p,4:00p - 6:00p,Q487-GT001,103,10,Active,11435
31,308 Beach 58th Street,Queens,414,5,31,Rockaway Roots Urban Farm,DPR,"MULTIPOLYGON (((-73.78882836331125 40.59501500877932, -73.78879327802805 40.59468188050023, -73.78822852424307 40.59471329875812, -73.78826043421118 40.59504660416967, -73.78882836331125 40.59501500877932)))",10:00a - Sundown,10:00a - Sundown,10:00a - Sundown,,10:00a - Sundown,10:00a - Sundown,10:00a - Sundown,Q371-GT001,100,10,Active,11692
65,SPRING STREET,Manhattan,102,10,1,Elizabeth Street Garden,HPD,"MULTIPOLYGON (((-73.99438387156921 40.72233956909482, -73.99471336052811 40.72240693559684, -73.99473935912955 40.72234053952556, -73.99476556613787 40.7222723244282, -73.99510271301388 40.7223412552499, -73.99518831469756 40.72212270431485, -73.99453217360168 40.72196440598152, -73.99438387156921 40.72233956909482)))",,,,,,,,MGT056,5,27,Not GreenThumb,10012
74,422 East 11th Street,Manhattan,103,10,2,11th Street Community Garden,MLT,"MULTIPOLYGON (((-73.98288701053744 40.728807093432266, -73.9828870100155 40.728809125880254, -73.98309890497173 40.728522529766906, -73.9830184383517 40.728487975314884, -73.9828172726029 40.72877863687869, -73.98288701053744 40.728807093432266)))",,,Noon to 6:00 p.m.,Noon to 6:00 p.m.,,,,MGT040,9,27,Active,10009
71,814 West 181st Street,Manhattan,112,13,10,West 181st Street Beautification Project,DOT,"MULTIPOLYGON (((-73.93917990698739 40.850180396040194, -73.9391291161426 40.85017049355671, -73.93882138243515 40.8509458523237, -73.93886749638128 40.850957313014945, -73.93917990698739 40.850180396040194)))",12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,12:00 a.m. to 11:59 p.m.,MGT033,34,31,Active,10033
68,95 East 111th Street,Manhattan,111,13,8,Villa Santurce,DPR,"MULTIPOLYGON (((-73.94594198047415 40.79638478343166, -73.94571971163674 40.79628697654238, -73.94553746242013 40.79654637680983, -73.9457585189183 40.79664364947935, -73.94594198047415 40.79638478343166)))",,,,,,,,MGT032,23,29,Active,10029
70,237 West 111th Street,Manhattan,110,13,9,Electric Ladybug Garden,DPR,"MULTIPOLYGON (((-73.95625744083964 40.80103493994177, -73.95628037633588 40.8010446118989, -73.95646339425547 40.80079674313503, -73.95630567509949 40.80073061113402, -73.95612287145383 40.80097818797012, -73.95614558181629 40.80098777252006, -73.95625744083964 40.80103493994177)))",5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,5:00 p.m. - 7:00 p.m.,M405-GT001,28,30,Active,10026
68,1891-1895 Lexington Avenue,Manhattan,111,13,8,Olga's El Gallo Community Garden,DPR,"MULTIPOLYGON (((-73.94071467019982 40.79969950098918, -73.94069371088572 40.799690650905404, -73.94047986910421 40.799600357470695, -73.94044839389919 40.79964358679871, -73.9404163942428 40.799687537146745, -73.94039357172214 40.799718887941225, -73.94056730447089 40.79979426389982, -73.94060612984397 40.799811157469, -73.94062305679859 40.79981852236898, -73.94070465671682 40.7997131681213, -73.94071467019982 40.79969950098918)))",,,,,,,,M392-GT001,25,30,Active,10035
68,1651 Madison Avenue,Manhattan,111,13,8,Pa'lante Community Garden,DPR,"MULTIPOLYGON (((-73.94723204280945 40.796082248666835, -73.94718375243963 40.796147895503424, -73.94742010408758 40.79624790411596, -73.94747088476291 40.796182573491336, -73.94747479662168 40.79617754057924, -73.94723333695663 40.79608048968252, -73.94723204280945 40.796082248666835)))",10:00a - 12:00p,10:00a - 12:00p,1:00p - 3:00p,1:00p - 3:00p,10:00a - 12:00p,10:00a - 12:00p,10:00a - 12:00p,M382-GT001,23,29,Active,10029
74,237 E. 7th Street,Manhattan,103,10,2,Sam & Sadie Koenig Garden,DPR,"MULTIPOLYGON (((-73.97837193287097 40.7241219826354, -73.97846293106281 40.72399882713647, -73.97840840570024 40.723975881854045, -73.9783216100723 40.72409326313578, -73.9782949347933 40.7240916687114, -73.978211389293 40.72420486495399, -73.97823349085505 40.724214165991654, -73.97825281951951 40.724222299441415, -73.97830631552097 40.72414989328164, -73.97833759410507 40.72410753291215, -73.97837193287097 40.7241219826354)))",,,7:00 a.m. - 5:00 p.m.,7:00 a.m. -  5:00 p.m.,,,,M370-GT001,9,27,Active,10009
68,52 East 117th Street,Manhattan,111,13,9,Peaceful Valley,DPR,"MULTIPOLYGON (((-73.94404184045143 40.800365919992274, -73.94399726618308 40.80042702693887, -73.94428009850296 40.80054645764174, -73.94432477861194 40.80048468697017, -73.94404184045143 40.800365919992274)))",,,8:00 a.m. - 1:00 p.m.,,,,8:00 a.m. - 1:00 p.m.,M367-GT001,25,30,Active,10035
68,103 East 122nd Street,Manhattan,111,13,9,Jackie Robinson Community Garden,DPR,"MULTIPOLYGON (((-73.93990302255587 40.80298611703492, -73.93989862537802 40.802984212888695, -73.9398204065183 40.80294989819098, -73.93964584301888 40.8031905364099, -73.93972477992527 40.80322386015072, -73.93980673362653 40.80311088495491, -73.94009800599972 40.80323451759241, -73.94018494248982 40.80310936907132, -73.94017753530427 40.8031061072225, -73.94005330128266 40.80305140311118, -73.94002567097986 40.80303923650631, -73.93990302255587 40.80298611703492)))",3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,M364-GT001,25,30,Active,10035
74,644 East 12th Street,Manhattan,103,10,2,Campos Community Garden,DPR,"MULTIPOLYGON (((-73.977740647504 40.72715925237521, -73.97766301249187 40.72712670015414, -73.97758303889856 40.727093166771105, -73.97740205808188 40.727342516519926, -73.97740119712786 40.72734370322165, -73.9774325028424 40.72735668389313, -73.97743334433592 40.7273570352565, -73.97746743252425 40.727371269972096, -73.97753559592596 40.727399733066754, -73.97755846777645 40.727409283821004, -73.97755900983654 40.72740950995439, -73.97756674924501 40.72741197165266, -73.977740647504 40.72715925237521)))",,,12:00 p.m. - 5:00 p.m.,12:00p.m.- 5:00 p.m.,,,,M359-GT001,9,27,Active,10009
65,350 East 4th Street,Manhattan,103,10,2,Orchard Alley,DPR,"MULTIPOLYGON (((-73.97870370238988 40.72126707031345, -73.97862987857565 40.72123592061488, -73.97843742763298 40.721154716399546, -73.9784232810234 40.721173963042645, -73.97836333552765 40.72114866998574, -73.97833216604198 40.72119107182283, -73.97820327222415 40.7213664172341, -73.97826320127791 40.72139173108222, -73.97844077805262 40.72146674089799, -73.97852941037664 40.72150417813555, -73.97870370238988 40.72126707031345)))",,,,8:00a - 6:00p,,,,M354-GT001,9,27,Active,10009
65,212 East 3rd Street,Manhattan,103,10,2,Kenkeleba House Garden,DPR/FDNY,"MULTIPOLYGON (((-73.98285933943026 40.72221803026121, -73.98266828872497 40.72213786802386, -73.98286844492092 40.721863604588734, -73.98276478544763 40.72181989549593, -73.98257443401766 40.722080411258005, -73.9826622173901 40.72211742554453, -73.98265221350792 40.72213112348839, -73.9824773384454 40.72237076039689, -73.98270098268752 40.722465060445415, -73.98287611412815 40.72222506843778, -73.98285933943026 40.72221803026121)))",10:00 a.m. - 5:00 p.m.,,11:00 a.m. - 5:00 p.m.,,10:00 a.m. - 5:00 p.m.,,,M345-GT001,9,27,Active,10009
